Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz


Start Simple Model
Model accuracy is: 0.9255
Completed Simple Model


Start Multilayer Convolutional Network
step 0, training accuracy 0.18
step 3050, training accuracy 0.98
step 3100, training accuracy 1
step 3150, training accuracy 1
step 3200, training accuracy 0.96
step 3250, training accuracy 0.98
step 3300, training accuracy 1
step 3350, training accuracy 0.98
step 3400, training accuracy 1
step 3450, training accuracy 0.98
step 3500, training accuracy 0.98
step 3550, training accuracy 0.98
step 3600, training accuracy 1
step 3650, training accuracy 1
step 3700, training accuracy 1
step 3750, training accuracy 0.98
step 3800, training accuracy 1
step 3850, training accuracy 0.96
step 3900, training accuracy 0.98
step 3950, training accuracy 0.98
step 4000, training accuracy 1
step 4050, training accuracy 1
step 4100, training accuracy 1
step 4150, training accuracy 0.98
step 4200, training accuracy 1
step 4250, training accuracy 0.98
step 4300, training accuracy 1
step 4350, training accuracy 0.98
step 4400, training accuracy 0.98
step 4450, training accuracy 1
step 4500, training accuracy 1
step 4550, training accuracy 0.96
step 4600, training accuracy 1
step 4650, training accuracy 1
step 4700, training accuracy 0.98
step 4750, training accuracy 0.98
step 4800, training accuracy 0.98
step 4850, training accuracy 1
step 4900, training accuracy 0.98
step 4950, training accuracy 0.98
step 5000, training accuracy 1
step 5050, training accuracy 1
step 5100, training accuracy 0.98
step 5150, training accuracy 0.98
step 5200, training accuracy 1
step 5250, training accuracy 0.98
step 5300, training accuracy 0.98
step 5350, training accuracy 1
step 5400, training accuracy 1
step 5450, training accuracy 0.98
step 5500, training accuracy 0.98
step 5550, training accuracy 1
step 5600, training accuracy 1
step 5650, training accuracy 0.98
step 5700, training accuracy 1
step 5750, training accuracy 0.98
step 5800, training accuracy 0.98
step 5850, training accuracy 0.98
step 5900, training accuracy 0.98
step 5950, training accuracy 0.98
step 6000, training accuracy 0.96
step 6050, training accuracy 0.98
step 6100, training accuracy 0.98
step 6150, training accuracy 1
step 6200, training accuracy 1
step 6250, training accuracy 1
step 6300, training accuracy 0.98
step 6350, training accuracy 0.98
step 6400, training accuracy 0.98
step 6450, training accuracy 1
step 6500, training accuracy 1
step 6550, training accuracy 1
step 6600, training accuracy 1
step 6650, training accuracy 1
step 6700, training accuracy 1
step 6750, training accuracy 1
step 6800, training accuracy 1
step 6850, training accuracy 1
step 6900, training accuracy 1
step 6950, training accuracy 0.98
step 7000, training accuracy 1
step 7050, training accuracy 1
step 7100, training accuracy 1
step 7150, training accuracy 1
step 7200, training accuracy 1
step 7250, training accuracy 1
step 7300, training accuracy 1
step 7350, training accuracy 1
step 7400, training accuracy 0.98
step 7450, training accuracy 1
step 7500, training accuracy 1
step 7550, training accuracy 0.98
step 7600, training accuracy 1
step 7650, training accuracy 1
step 7700, training accuracy 1
cy 1
step 7800, training accuracy 1
step 7850, training accuracy 0.98
step 7900, training accuracy 1
step 7950, training accuracy 1
step 8000, training accuracy 1
step 8050, training accuracy 1
step 8100, training accuracy 1
step 8150, training accuracy 1
step 8200, training accuracy 0.98
step 8250, training accuracy 1
step 8300, training accuracy 0.98
step 8350, training accuracy 1
step 8400, training accuracy 1
step 8450, training accuracy 0.98
step 8500, training accuracy 1
step 8550, training accuracy 1
step 8600, training accuracy 1
step 8650, training accuracy 0.98
step 8700, training accuracy 0.98
step 8750, training accuracy 0.98
step 8800, training accuracy 0.98
step 8850, training accuracy 1
step 8900, training accuracy 0.98
step 8950, training accuracy 1
step 9000, training accuracy 1
step 9050, training accuracy 1
step 9100, training accuracy 1
step 9150, training accuracy 1
step 9200, training accuracy 1
step 9250, training accuracy 1
step 9300, training accuracy 1
step 9350, training accuracy 1
step 9400, training accuracy 1
step 9450, training accuracy 1
step 9500, training accuracy 1
step 9550, training accuracy 1
step 9600, training accuracy 1
step 9650, training accuracy 1
step 9700, training accuracy 0.98
step 9750, training accuracy 1
step 9800, training accuracy 1
step 9850, training accuracy 1
step 9900, training accuracy 1
step 9950, training accuracy 1
test accuracy 0.9903
Completed Multilayer Convolutional Network
